cde_name,n_tx,total_qlici_m,n_non_metro,non_metro_share
"Advantage Capital Community Development Fund, LLC",745,1438.6,203,0.3
Local Initiatives Support Corporation,253,1123.0,31,0.1
ESIC New Markets Partners LP,226,1057.4,5,0.0
"USBCDE, LLC",416,935.0,48,0.1
"National New Markets Tax Credit Fund, Inc.",332,823.0,56,0.2
"Stonehenge Community Development, LLC",220,797.0,46,0.2
"HEDC New Markets, Inc",238,775.2,21,0.1
"Banc of America CDE, LLC",153,773.7,10,0.1
"Consortium America, LLC",181,758.9,8,0.0
"National Community Fund I, LLC",263,748.8,30,0.1
Chase New Markets Corporation,466,717.1,78,0.2
"Coastal Enterprises, Inc.",113,678.7,50,0.4
Clearinghouse Community Development Financial Institution,162,678.2,22,0.1
"Reinvestment Fund, Inc., The",198,665.8,23,0.1
Midwest Minnesota Community Development Corporation,234,662.3,146,0.6
Montana Community Development Corporation,147,660.0,102,0.7
Capital Impact Partners,199,659.5,4,0.0
National Trust Community Investment Corporation,110,657.4,5,0.0
"Truist Community Development Enterprises, LLC a Domestic Limited Liability Company",214,653.8,40,0.2
Rural Development Partners LLC,91,636.4,76,0.8
